"","month","cor_blanks_box","cor_zeros_box","cor_blanks_enso","cor_zeros_enso"
"1","-01-",NA,NA,0.0728965918797332,0.168438601044244
"2","-02-",NA,NA,0.0408507007680809,0.152377413364562
"3","-03-",NA,NA,0.112480685446789,0.205892821396991
"4","-04-",NA,NA,0.433645514016656,0.443332535840636
"5","-05-",NA,NA,0.674125296630197,0.629115927164797
"6","-06-",NA,NA,0.906290339117462,0.733404034084615
"7","-07-",NA,NA,0.894119134528103,0.64777911725778
"8","-08-",NA,NA,0.84717392061213,0.620626963572352
"9","-09-",NA,NA,0.833420439173711,0.602231638269164
"10","-10-",NA,NA,0.816763851727727,0.618184862979381
"11","-11-",NA,NA,0.808327739153249,0.635160972124302
"12","-12-",NA,NA,0.808421352592302,0.638501572116724
