"","sightings_blank","sightings_zero","01_mean","01_mean.1","02_mean","03_mean"
"2003-01-16",10,10,17.9885566881399,17.7405548592625,17.4982879090412,17.7804751701853
"2004-01-16",NA,0,17.9498725470046,17.3732545308173,17.4063548590487,17.6231019332734
"2005-01-16",1,1,17.993040254168,17.628369746716,17.8440575612251,17.9980757734688
"2006-01-16",34,34,18.2721687448694,17.7945675033058,17.4699613087806,18.2296069042479
"2007-01-16",NA,0,17.5960760605066,17.3122011964451,17.5060098494922,17.5062978412142
"2008-01-16",NA,0,17.0261415200787,16.6213334859017,17.0040394719828,17.3146426340681
"2009-01-16",NA,0,18.0364141182658,17.7084461832789,17.3857867435019,17.5161165857249
"2010-01-16",NA,0,18.081082236711,17.5117165007983,17.7165306219049,18.0671024858785
"2011-01-16",NA,0,17.4915553034057,16.9948021064116,17.158191427703,17.4753859799114
"2012-01-16",NA,0,17.4565778967556,17.1075499121033,17.0485889217809,17.5993198111184
"2013-01-16",1,1,17.9404478550914,17.3076031354739,17.5849335297965,18.2087625304758
"2014-01-16",94,94,18.5165348655071,18.2168363700786,18.6306191395438,18.702652070232
"2015-01-16",469,469,20.0809584196033,20.0274723046479,20.1716586589117,20.1043725375146
"2016-01-16",56,56,18.7586811593941,18.8404410563241,18.5886877351192,18.9936666632143
